998;172;19.4;19.4;100;14.42;125;3;292.7;333.8;295.2
985;285;20.8;20.8;100;15.97;172;18;295.2;341.2;298
982.8;305;21.1;20.9;99;16.14;180;20;295.7;342.2;298.5
975;374;22;21.4;96;16.76;183;20;297.3;346;300.3
948.8;610;20.8;20.1;96;15.91;195;18;298.4;344.9;301.3
944;654;20.6;19.9;96;15.76;195;18;298.6;344.6;301.4
935;737;20.2;17.8;86;13.91;195;17;299;339.8;301.5
925;830;19.4;17.6;89;13.88;195;17;299.1;339.8;301.6
916;914;18.8;17.4;92;13.88;195;18;299.4;340.1;301.8
896;1104;17.4;17.1;98;13.88;204;18;299.8;340.6;302.3
884;1219;16.6;16.4;98;13.41;210;18;300.2;339.7;302.6
852.9;1524;14.6;14.4;99;12.23;240;20;301.1;337.3;303.3
850;1553;14.4;14.2;99;12.12;230;17;301.2;337.1;303.4
849;1563;14.4;14.2;99;12.13;230;17;301.3;337.3;303.5
829;1765;13.6;12.6;94;11.18;230;18;302.5;335.9;304.6
822.7;1829;13.4;10;80;9.46;230;18;303;331.4;304.7
816;1898;13.2;7.2;67;7.87;227;18;303.5;327.3;304.9
811;1950;13;10.2;83;9.72;224;18;303.8;333.1;305.6
810;1960;13;9.7;80;9.41;224;18;303.9;332.3;305.6
807;1992;13.4;5.4;58;7.02;222;17;304.6;326.1;305.9
804;2023;13.8;1.8;44;5.45;220;17;305.4;322.3;306.4
803;2034;14;1;41;5.15;220;17;305.7;321.8;306.7
798;2086;13.4;7.4;67;8.16;217;17;305.6;330.5;307.1
793.5;2134;13.2;7;66;7.98;215;17;305.9;330.3;307.4
773;2354;12.2;5.2;62;7.22;204;13;307.1;329.4;308.5
765.3;2438;11.5;5.2;65;7.3;200;11;307.2;329.7;308.6
752;2584;10.2;5.2;71;7.43;212;13;307.4;330.3;308.8
745;2662;9.8;3.8;66;6.79;218;15;307.8;328.8;309
737.8;2743;9.2;3.2;66;6.58;225;16;308;328.4;309.2
708;3084;6.8;0.8;66;5.76;209;12;309;327;310.1
700;3177;6;1;70;5.91;205;11;309.1;327.6;310.2
685;3353;4.3;0.6;77;5.86;205;11;309.2;327.5;310.3
661;3643;1.6;-0.1;88;5.78;262;9;309.2;327.4;310.3
659.8;3658;1.6;-0.1;89;5.81;265;9;309.4;327.6;310.5
651;3766;1.4;0.2;92;6;269;8;310.4;329.2;311.5
649;3791;1.4;1.2;99;6.47;270;8;310.6;331;311.9
627;4068;-0.9;-0.9;100;5.75;282;6;311.1;329.2;312.2
625;4093;-0.5;-0.6;99;5.9;283;6;311.8;330.5;312.9
622;4132;0;-6;64;3.95;284;6;312.8;325.6;313.6
618;4184;0;-7;59;3.68;287;6;313.4;325.4;314.1
611.5;4267;-0.7;-8;58;3.45;290;5;313.6;324.9;314.3
575;4756;-4.5;-13.5;49;2.36;346;9;314.7;322.6;315.1
