IND,NAME,r,g,b,ELEVATION_TYPE,ALBEDO,CGA,D,BETA
1,bare soil,205,133,63,2,0.25,60.5,0.09,1.5
2,grass,192,255,62,3,0.21,114.27,0.0586,0.5
3,forest,139,76,57,4,0.13,101.73,0.0586,0.35
4,snow,255,255,255,4,0.6,10,0.002,0.5
5,crops,0,255,255,2,0.19,120.54,0.0586,0.6
6,urban,255,0,0,1,0.15,154.1086,0.08291,3
7,water,0,174,255,0,0.08,106.6495,0.01,0.1
8,res-low,219,95,255,1,0.12,124.1086,0.01,2.5
9,res-high,64,101,255,1,0.09,134.1086,0.01,2.6
10,ind-low,255,151,75,1,0.1,164.1086,0.01,3
11,ind-high,255,255,0,1,0.05,184.1086,0.01,3.5
12,color-roof,255,255,255,1,0.35,154.1086,0.08291,3
