-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    170                                                               
  980.0    345   21.6   20.9     96  16.16    160      0  296.5  343.2  299.3
  971.0    426   21.6   20.5     93  15.90    172      0  297.2  343.4  300.1
  960.0    526   21.2   19.7     91  15.29    187      0  297.8  342.3  300.5
  950.8    610   21.4   19.2     87  14.94    200      0  298.8  342.5  301.5
  932.0    785   21.8   18.1     80  14.23    204      0  300.9  343.0  303.5
  925.0    851   21.4   17.7     79  13.97    205      0  301.2  342.5  303.7
  918.3    914   21.2   17.6     80  13.95    205      0  301.6  342.9  304.1
  902.0   1070   20.6   17.2     81  13.88    205      0  302.5  343.8  305.1
  886.6   1219   20.6   13.9     66  15.42    205      0  304.0  338.3  306.1
  885.0   1235   20.6   13.6     64  15.18    205      0  304.2  337.8  306.2
  855.9   1524   19.8   11.9     61  15.36    210      0  306.2  337.7  308.1
  850.0   1584   19.6   11.6     60  15.19    215      0  306.7  337.7  308.5
  846.0   1625   19.4   11.4     60  15.10    217      0  306.9  337.6  308.7
  826.0   1829   18.1   10.1     60  15.47    230      0  307.6  336.6  309.3
  797.1   2134   16.1    8.1     59   8.57    260      6  308.6  335.1  310.2
  787.0   2243   15.4    7.4     59   8.27    262      7  309.0  334.6  310.5
  768.9   2438   13.8    6.5     61   7.97    265      8  309.3  334.0  310.8
  741.3   2743   11.3    5.2     66   7.51    275      9  309.9  333.2  311.3
  700.0   3223    7.4    3.0     74   6.83    290      8  310.6  332.0  311.9
  683.0   3425    5.8    1.9     76   6.47    299      9  311.1  331.4  312.3
  672.0   3558    5.0   -1.0     65   5.32    305     10  311.6  328.5  312.6
  663.8   3658    4.2   -2.8     60   4.70    310     10  311.8  326.8  312.7
  656.0   3754    3.4   -4.6     56   4.16    289     10  311.9  325.4  312.7
  639.0   3967    3.0  -10.0     38   2.81    242     11  313.9  323.2  314.4
  629.0   4095    4.0  -27.0      8   0.67    213     11  316.4  318.8  316.5
  615.7   4267    3.2  -27.8      8   0.63    175     11  317.4  319.7  317.5
  607.0   4383    2.6  -28.4      8   0.61    174     10  318.0  320.3  318.1
  597.0   4517    2.8  -27.2      9   0.69    173      9  319.8  322.3  319.9
  570.8   4877   -0.4  -27.1     11   0.73    170      7  320.2  322.8  320.3
  565.0   4959   -1.1  -27.1     12   0.74    171      7  320.2  323.0  320.4
  500.0   5920   -7.7  -38.7      6   0.27    185     10  323.6  324.6  323.6
  488.7   6096   -8.9  -41.4      5   0.21    190      7  324.2  325.1  324.3
  448.0   6767  -13.5  -51.5      2   0.07    245      3  326.6  326.9  326.6
  433.8   7010  -15.5  -49.8      4   0.09    265      1  327.1  327.5  327.1
  400.0   7620  -20.5  -45.5      9   0.16     70      5  328.3  328.9  328.3
  395.0   7713  -21.1  -45.1     10   0.17     64      6  328.7  329.4  328.7
  374.0   8114  -23.5  -41.5     18   0.27     41      9  330.6  331.7  330.7
  352.8   8534  -26.7  -46.3     14   0.17     15     13  331.9  332.6  332.0
  338.2   8839  -29.0  -49.8     12   0.12    345     12  332.8  333.4  332.9
  324.2   9144  -31.3  -53.3     10   0.08    335     11  333.7  334.1  333.7
  324.0   9148  -31.3  -53.3     10   0.08    335     11  333.7  334.1  333.7
  316.0   9325  -31.7  -62.7      3   0.03    348     14  335.6  335.7  335.6
  306.0   9551  -33.3  -70.3      1   0.01      5     18  336.4  336.5  336.4
  300.0   9690  -34.5  -59.5      6   0.04     15     20  336.6  336.8  336.6
  297.2   9754  -35.1  -58.5      7   0.05     20     24  336.7  336.9  336.7
  283.0  10092  -38.1  -53.1     19   0.10     13     29  337.1  337.6  337.1
  273.0  10338  -39.5  -52.5     24   0.11      8     33  338.6  339.1  338.6
  252.0  10877  -44.5  -57.5     22   0.06    356     42  339.0  339.3  339.0
  250.0  10930  -44.9  -58.0     22   0.06    355     43  339.2  339.4  339.2
  248.4  10973  -45.3  -58.4     22   0.06    350     45  339.2  339.5  339.2
  217.0  11858  -53.5  -66.4     19   0.02    354     35  339.9  340.0  339.9
  206.0  12192  -55.5  -69.5     16   0.02    355     31  341.8  341.9  341.8
  206.0  12191  -55.5  -69.4     16   0.02    355     31  341.8  341.9  341.8
  201.0  12348  -54.9  -70.9     12   0.01    355     37  345.2  345.2  345.2
  200.0  12380  -55.1  -71.1     12   0.01    355     38  345.4  345.4  345.4
  185.0  12875  -57.9  -86.9      1   0.00    346     40  348.6  348.6  348.6
  178.0  13118  -59.1  -77.1      8   0.01    341     41  350.5  350.5  350.5
  170.0  13405  -60.9  -81.9      5   0.00    336     42  352.1  352.2  352.1
  165.0  13591  -60.3  -83.3      3   0.00    332     43  356.2  356.2  356.2
  161.7  13716  -61.1  -83.4      4   0.00    330     43  356.9  356.9  356.9
  151.0  14139  -63.7  -83.7      5   0.00    339     33  359.5  359.5  359.5
  150.0  14180  -63.5  -83.5      5   0.00    340     32  360.5  360.5  360.5
  144.0  14430  -64.3  -84.3      5   0.00    334     30  363.3  363.3  363.3
  133.0  14912  -67.1  -87.1      4   0.00    323     27  366.7  366.7  366.7
  127.0  15190  -67.7  -87.7      4   0.00    316     25  370.5  370.5  370.5
  126.0  15240  -67.3  -87.3      4   0.00    315     25  372.0  372.1  372.0
  126.0  15238  -67.3  -87.3      4   0.00    315     25  372.0  372.1  372.0
  120.0  15530  -69.7  -88.7      5   0.00    310     26  372.9  372.9  372.9
  116.0  15732  -68.7  -86.7      6   0.00    326     23  378.3  378.4  378.3
  109.0  16104  -69.7  -88.7      5   0.00    355     17  383.2  383.3  383.2
  104.0  16385  -67.9  -88.9      4   0.00     17     12  391.9  391.9  391.9
  100.0  16620  -68.5  -88.5      4   0.00     35      8  395.1  395.1  395.1
   97.1  16797  -66.7  -88.7      3   0.00     22      9  402.0  402.0  402.0
   88.9  17331  -65.5  -89.5      2   0.00    343     13  414.6  414.6  414.6
   88.3  17374  -65.6  -89.6      2   0.00    340     13  415.2  415.2  415.2
   85.2  17589  -66.3  -90.3      2   0.00      1     16  418.1  418.1  418.1
   84.0  17678  -66.1  -90.5      2   0.00     10     17  420.2  420.2  420.2
   79.8  17983  -65.6  -91.4      2   0.00     45     27  427.4  427.4  427.4
   76.5  18242  -65.1  -92.1      1   0.00     62     21  433.6  433.6  433.6
   75.9  18288  -65.4  -92.3      1   0.00     65     20  433.9  433.9  433.9
   72.8  18542  -67.3  -93.3      1   0.00     40     19  435.2  435.2  435.2
   72.2  18593  -66.6  -93.0      1   0.00     35     19  437.7  437.7  437.7
   70.0  18780  -64.1  -92.1      1   0.00     45     19  446.9  446.9  446.9
   68.6  18904  -62.3  -91.3      1   0.00     58     18  453.4  453.4  453.4
   65.4  19202  -62.5  -92.3      1   0.00     90     16  459.3  459.3  459.3
   64.6  19275  -62.5  -92.5      1   0.00     88     18  460.8  460.8  460.8
   62.2  19507  -60.7  -91.4      1   0.00     80     24  469.6  469.7  469.6
   60.9  19641  -59.7  -90.7      1   0.00     84     22  474.8  474.9  474.8
   58.1  19934  -61.3  -92.3      1   0.00     94     18  477.7  477.7  477.7
   53.7  20422  -60.3  -91.3      1   0.00    110     12  490.9  490.9  490.9
   51.2  20726  -59.6  -90.6      1   0.00     95     18  499.3  499.3  499.3
   50.0  20870  -59.3  -90.3      1   0.00    105     21  503.3  503.3  503.3
   48.7  21031  -58.9  -90.1      1   0.00    110     21  507.9  507.9  507.9
   46.4  21336  -58.2  -89.7      1   0.00    100     24  516.7  516.7  516.7
   44.2  21641  -57.5  -89.3      1   0.00     75     21  525.7  525.7  525.7
   43.1  21804  -57.1  -89.1      1   0.00     74     22  530.5  530.5  530.5
   42.1  21952  -58.3  -89.3      1   0.00     72     22  531.1  531.1  531.1
   40.2  22250  -57.8  -89.2      1   0.00     70     23  539.6  539.6  539.6
   37.7  22649  -57.1  -89.1      1   0.00     63     25  551.2  551.2  551.2
   34.8  23165  -53.7  -86.5      1   0.01     55     27  573.0  573.1  573.0
   34.3  23252  -53.1  -86.1      1   0.01     59     30  576.8  576.8  576.8
   33.2  23470  -52.5  -85.7      1   0.01     70     36  584.1  584.1  584.1
   30.2  24079  -50.6  -84.6      1   0.01     70     33  604.9  605.0  604.9
   30.0  24120  -50.5  -84.5      1   0.01     80     33  606.4  606.5  606.4
   28.8  24384  -50.7  -84.5      1   0.01     90     32  613.0  613.0  613.0
